,Question,Answer
8665,Generate a list containing all multiples of 3 from 0 to 30.,"multiples_of_3 = [0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
8666,"Sort the string list across both key and value.list =[(""hello"", 1), (""world"", 2), (""today"", 4), (""is"", 3)]","list =[(""hello"", 1), (""world"", 2), (""today"", 4), (""is"", 3)]
sorted_list = sorted(list, key = lambda kv:(kv[0], kv[1])) 
print(sorted_list)"
8667,Describe a short code fragment that imports xml as an object.,"import xml.etree.ElementTree as ET 
tree = ET.parse(""doc.xml"") 
root = tree.getroot()"
8668,"Modify the code to make it compatible with Python 3.mylist = range(20)

for i in mylist:
    print i","mylist = list(range(20))

for i in mylist: 
    print(i)"
8669,"Remove the empty tuples in the list.mylist = [(), (1,), (1, 2), (), (3, 4), (), (5)]","mylist = [(), (1,), (1, 2), (), (3, 4), (), (5)]
filtered_list = list(filter(None, mylist))
print(filtered_list)"
8670,"Modify the following code to print all words with more than 5 characters in a given string.text = ""This is an example string""","text = ""This is an example string""
words = text.split() 
for word in words: 
    if len(word) > 5: 
        print(word)"
8671,"Write a python program to replace the character âe' with the character âE' for strings of length more than 5text = ""Hello world!""","def replace_char(text):
    if len(text) > 5:
        return text.replace('e','E')
    else:
        return text"
8672,"Write a Python function to split a list of items into groups of n.list = [""red"", ""green"", ""orange"", ""blue"", ""pink"", ""purple""]","def split_list(data, n):
    output = [data[i:i+n] for i in range(0, len(data), n)]
    return output"
8673,"Write a Python program to check if a list contains a specific item.data = [3, 4, 5, 6, 7]","def contains_item(data, item):
    return item in data"
8674,"Given a string s, create a function to find the character that appears the most and return its index.s = ""Big Data""","def most_freq_char(s):
 freq_dict = {}
 
 for char in s:
 if char in freq_dict:
 freq_dict[char] += 1
 else:
 freq_dict[char] = 1
 
 max_freq = 0
 max_char = """"
 
 for key in freq_dict:
 if max_freq < freq_dict[key]:
 max_freq = freq_dict[key]
 max_char = key
 
 return s.index(max_char)"
8675,"Given a list of strings, write a function to sort them alphabetically.[""orange"", ""apple"", ""banana""]","def sort_strings(lst):
 return sorted(lst, key=str.lower)"
8676,"Generate a token based on the given parameters.Parameters: Algorithm (SHA-256), Size (32 characters), Encode (Hexadecimal)","import hashlib

def generate_token(algorithm, size, encoding):
	token = hashlib.sha256(os.urandom(size//2)).hexdigest()[:size]
	return token"
8677,"Assign the values of list_2 to the same positions of list_1.list_1 = [1, 2, 5, 8]
list_2 = [3, 6, 9, 12]","list_1[0] = 3
list_1[1] = 6
list_1[2] = 9
list_1[3] = 12"
8678,Describe the purpose of the else statement in an if-else statement.,The else statement in an if-else statement is used to execute a block of code when the expression in the if statement returns false. It provides an alternate option if the condition in the if statement is not satisfied. The else statement can be followed by an additional if-else statement in order to create an if-else-if ladder.
8679,"Change the given program code to swap the values of two variables 'a' and 'b'.let a = 8;
let b = 12;","let a = 12;
let b = 8;"
8680,Construct a while loop in order to traverse through an array.,"arr = [1, 2, 3, 4, 5]
i = 0

while i < len(arr): 
  element = arr[i]
  print(element)
  i += 1"
8681,"Suggest a way to find all the divisors of a number, n.","We can find all the divisors of a number by using a for loop to iterate from 1 to n. For each number, we check if it is a divisor of n. If it is, then we add it to a list of divisors. At the end of the loop, we will have the list of all divisors of n."
8682,Describe the process of writing a recursive program.,"Writing a recursive program involves identifying a base case, which is a situation where the answer has been found and doesnât need to be recomputed. This is followed by defining the recursive case which involves breaking the problem down into smaller and smaller subproblems until the base case is reached. Each recursive call should pass the necessary information to the next call for solving the subproblem. The computed results are eventually combined to solve the original problem."
8683,Create a function that takes an integer n as an argument and returns the sum of all numbers from 1 to n.n = 10,"def sum_to_n(n):
    total = 0
    for i in range(1, n + 1):
        total += i
    return total"
8684,"Find the max 2 numbers in a list of 5 numbers without using any comparison operator.arr = [3, 10, 2, 5, 9]","def findMax2Numbers(arr): 
    max1 = 0
    max2 = 0
    
    for i in range(len(arr)): 
        temp = arr[i] + max1 
        max2 = max1 
        if temp > max2: 
            max1 = temp 
        elif max2 > temp: 
            max1 = max2 
    
    return max1, max2"
8685,Generate a for-loop that prints out the square of the first 10 natural numbers.,"for i in range(1,11):
  print(i ** 2)"
8686,"Given a list of numbers, write a function that returns the sum without using the built-in 'sum()' function.arr = [3, 4, 2, 5, 9]","def add_nums(arr):
    total = 0
    for x in arr:
        total += x
    return total"
8687,Write an AppleScript to open a given link in Safari.https://www.google.com,"tell application ""Safari"" 
  open location ""https://www.google.com"" 
end tell"
8688,Create a function in Python to replace a specified element in a given list,"def replace_in_list(list, old_element, new_element):
  for i, element in enumerate(list):
    if element == old_element:
      list[i] = new_element
  return list"
8689,Write the shortest code to print Hello World,print('Hello World')
8690,Write a Python class to print the sum of an array elements,"class ArraySum: 
    def __init__(self, arr):
        self.arr = arr

    def sum(self):
        total = 0
        for i in self.arr:
            total += i
        return total"
8691,"Extract the first half of a given string.string = ""This is an example of string""","first_half = string[0:len(string)//2] # ""This is an"""
8692,Create an array containing the last three prime numbers.,"last_three_primes = [97, 89, 83]"
8693,Write a function to identify leap year.,"def isLeapYear(year): 
    if (year % 4 == 0 and year % 100 != 0) or year % 400 == 0: 
        return True 
    else: 
        return False"
8694,"Create a regular expression pattern to find all words ending with ""able"".","pattern = re.compile(r""\w+able\b"")"
8695,"Create a LINQ query to count the number of elements with a specific value.List<int> arr = [1, 2, 3, 4, 5, 5];",int count = arr.Count(x => x == 5);
8696,"Design a regular expression to match strings that begin with the letter ""a"".",^a.*
8697,"Rewrite the following code to delete the elements from the list which are not even.x = [1, 2, 3, 4, 5]",x = [i for i in x if i % 2 == 0]
8698,"Given a two lists, combine the contents of both lists into a new list.list1 = [1, 2, 3, 4]
list2 = [5, 6, 7, 8]",new_list = list1+list2
8699,Create a variable to store your name.,"name = ""John"""
8700,"Write a for loop to iterate through a list of integers and print out the square of each value.numbers = [1, 2, 3, 4]","for num in numbers:
    print(num**2)"
8701,"Find the index of the first occurence of the given element in a list.my_list = [2, 5, 6, 8, 10]
element = 8",index = my_list.index(element)
8702,What do we mean by immutability in Python?,"Immutability in Python refers to the concept of objects that are unable to be modified. Immutable objects are specified when they are created and cannot be changed beyond that point. For example, tuples and strings are always immutable."
8703,"Strip the white spaces from a given string.my_string = ""   Hello World     """,stripped_string = my_string.strip()
8704,Create an array with 3 elements of your choice.,"my_array = [""John"", 25, True]"
8705,"Parse the sentence and extract all the verbs from it.Sentence: ""She ran quickly to catch the bus.""","def extract_verbs(sentence):
  verbs = []
  words = sentence.split("" "")
  for w in words:
    if w.endswith(""ed"") or w.endswith(""ing""):
      verbs.append(w)
  return verbs"
